UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2010,29,4430183,2253984,2176199,1757645,1660595,309375,320918,26708,24632,118394,127137,5583,5104,36279,37813,1787910,1692230,321629,334766,39952,37944,133432,142587,10645,10096,1775796,1790147,1313871,1305621,293080,305600,18643,18370,115491,124393,4090,4058,30621,32105,1339237,1332300,302752,316812,29564,29335,129024,138259,8513,8354,478188,386052,443774,354974,16295,15318,8065,6262,2903,2744,1493,1046,5658,5708,448673,359930,18877,17954,10388,8609,4408,4328,2132,1742
R,1,2010,30,4247382,2161462,2085920,1687389,1588501,292777,307797,25110,22848,117862,126562,5371,4900,32953,35312,1714828,1617909,304099,320888,37233,35209,131412,141084,9878,9503,1696342,1713260,1255584,1245963,276864,292599,17343,16888,115030,123949,3935,3944,27586,29917,1278298,1270702,285654,303162,27306,27048,127206,137021,7834,7933,465120,372660,431805,342538,15913,15198,7767,5960,2832,2613,1436,956,5367,5395,436530,347207,18445,17726,9927,8161,4206,4063,2044,1570
R,1,2010,31,4071451,2070872,2000579,1620155,1523493,274198,291632,23948,21641,116486,126450,5332,4773,30753,32590,1645829,1550512,284555,303533,35245,33253,129329,140027,9498,8969,1616931,1636746,1198418,1188913,258856,276582,16443,15995,113685,123862,3933,3788,25596,27606,1219575,1211601,266787,286136,25646,25537,125244,136116,7493,7442,453941,363833,421737,334580,15342,15050,7505,5646,2801,2588,1399,985,5157,4984,426254,338911,17768,17397,9599,7716,4085,3911,2005,1527
R,1,2010,32,4007104,2038116,1968988,1600434,1501200,263874,284807,23423,21585,115933,125883,5211,4621,29241,30892,1624752,1526880,273712,295987,34199,32444,128199,138927,9193,8655,1586886,1604482,1180806,1165586,248757,269769,16025,15912,113233,123375,3803,3618,24262,26222,1200757,1187206,256235,278692,24752,24914,124277,135160,7225,7093,451230,364506,419628,335614,15117,15038,7398,5673,2700,2508,1408,1003,4979,4670,423995,339674,17477,17295,9447,7530,3922,3767,1968,1562
R,1,2010,33,3879097,1970598,1908499,1545543,1453910,250008,272278,22765,20650,119613,128006,5149,4503,27520,29152,1568345,1478013,258949,282685,32984,31006,131382,140415,8906,8287,1529351,1545794,1134160,1119324,235959,257776,15522,15201,117045,125536,3830,3472,22835,24485,1152868,1139419,242727,265920,23839,23695,127605,136669,7088,6713,441247,362705,411383,334586,14049,14502,7243,5449,2568,2470,1319,1031,4685,4667,415477,338594,16222,16765,9145,7311,3777,3746,1818,1574
R,1,2010,34,3890878,1974809,1916069,1547443,1456229,249918,274594,22281,20323,123941,132275,4956,4453,26270,28195,1569208,1479611,258448,284462,32053,30381,135074,144256,8575,8147,1535263,1553919,1137415,1121956,235930,259885,15062,15079,121508,129856,3619,3453,21729,23690,1155206,1141429,242278,267634,23051,23356,131522,140637,6717,6627,439546,362150,410028,334273,13988,14709,7219,5244,2433,2419,1337,1000,4541,4505,414002,338182,16170,16828,9002,7025,3552,3619,1858,1520
R,1,2010,35,3917208,1985599,1931609,1561000,1475452,246765,272667,21730,19801,125541,131993,4829,4249,25734,27447,1582116,1498208,255049,282187,31333,29673,136692,143709,8360,7789,1555211,1573255,1158949,1144054,233305,258491,14907,14604,123109,129582,3594,3362,21347,23162,1176245,1163055,239471,265935,22734,22757,133163,140265,6647,6437,430388,358354,402051,331398,13460,14176,6823,5197,2432,2411,1235,887,4387,4285,405871,335153,15578,16252,8599,6916,3529,3444,1713,1352
R,1,2010,36,3818587,1927472,1891115,1511170,1440868,241795,269495,20942,19524,124391,130865,4570,4178,24604,26185,1531414,1462430,249497,278454,30371,29043,135001,142248,7929,7469,1521195,1545321,1131624,1121220,228986,255425,14436,14659,122109,128636,3479,3307,20561,22074,1148284,1139196,234747,262358,22227,22610,131750,138943,6443,6145,406277,345794,379546,319648,12809,14070,6506,4865,2282,2229,1091,871,4043,4111,383130,323234,14750,16096,8144,6433,3251,3305,1486,1324
R,1,2010,37,4017028,2025892,1991136,1589549,1519517,256769,285026,21743,20298,127935,135411,4594,4294,25302,26590,1610303,1541338,264492,294040,31550,30341,138872,146855,8058,7665,1611070,1637637,1202095,1192809,243607,270658,15238,15210,125545,133081,3418,3374,21167,22505,1219168,1211071,249371,277684,23393,23624,135503,143451,6452,6310,414822,353499,387454,326708,13162,14368,6505,5088,2390,2330,1176,920,4135,4085,391135,330267,15121,16356,8157,6717,3369,3404,1606,1355
R,1,2010,38,4171120,2097595,2073525,1664694,1601838,258876,290220,21627,20487,122561,130010,4544,4111,25293,26859,1685472,1623963,266582,299101,31776,30781,133275,141406,7972,7605,1703097,1730301,1296606,1285047,246248,276079,15254,15541,120344,127634,3460,3215,21185,22785,1313772,1303615,251982,282990,23736,24245,130102,137964,6457,6286,394498,343224,368088,316791,12628,14141,6373,4946,2217,2376,1084,896,4108,4074,371700,320348,14600,16111,8040,6536,3173,3442,1515,1319
